Expiration Date,Calls,Calls Last Sale,Calls Net,Calls Bid,Calls Ask,Calls Volume,Calls IV,Calls Delta,Calls Gamma,Calls Open Interest,Strike,Puts,Puts Last Sale,Puts Net,Puts Bid,Puts Ask,Puts Volume,Puts IV,Puts Delta,Puts Gamma,Puts Open Interest

Fri Jun 09 2023,GOOG230609C00113000,10.2,0.425,8.45,11.1,143,4.2188,0.9984,0.0014,849,113.00,GOOG230609P00113000,0.01,0.005,0,2.13,20,4.2174,-0.0016,0.0014,742
Fri Jun 09 2023,GOOG230609C00114000,8.95,0.175,7.5,10.1,136,3.8169,0.9982,0.0018,311,114.00,GOOG230609P00114000,0.01,0,0,0.01,0,3.8156,-0.0018,0.0018,992
Fri Jun 09 2023,GOOG230609C00115000,7.85,0.075,6.45,9.1,285,3.4148,0.998,0.0022,461,115.00,GOOG230609P00115000,0.01,-0.005,0,0.01,5,3.4136,-0.002,0.0022,1082
Fri Jun 09 2023,GOOG230609C00116000,6.91,0.135,5.6,8.1,158,3.0117,0.9977,0.0029,351,116.00,GOOG230609P00116000,0.02,0,0,0.11,0,3.0106,-0.0023,0.0029,1042
Fri Jun 09 2023,GOOG230609C00117000,5.8,0,5.5,7.15,169,2.607,0.9973,0.0038,380,117.00,GOOG230609P00117000,0.01,-0.015,0,0.01,7,2.606,-0.0027,0.0038,1539
Fri Jun 09 2023,GOOG230609C00118000,4.95,-0.1,3.5,6.1,184,2.1994,0.9968,0.0053,506,118.00,GOOG230609P00118000,0.01,-0.035,0,0.01,29,2.1986,-0.0032,0.0053,4572
Fri Jun 09 2023,GOOG230609C00119000,3.85,-0.05,2.62,5.15,543,1.7875,0.9961,0.0079,566,119.00,GOOG230609P00119000,0.01,-0.055,0,0.01,201,1.7868,-0.0039,0.0079,2260
Fri Jun 09 2023,GOOG230609C00120000,2.9,-0.005,1.62,4,442,0.834,0.9949,0.0132,921,120.00,GOOG230609P00120000,0.01,-0.105,0,0.01,392,1.368,-0.0051,0.0132,3201
Fri Jun 09 2023,GOOG230609C00121000,1.74,-0.275,0.64,3.1,515,0.5528,0.9926,0.0269,773,121.00,GOOG230609P00121000,0.01,-0.225,0,0.01,698,0.9373,-0.0074,0.0269,1937
Fri Jun 09 2023,GOOG230609C00122000,0.83,-0.425,0.4,2.02,2639,0.2651,0.9834,0.1035,1788,122.00,GOOG230609P00122000,0.01,-0.49,0,0.01,8519,0.4824,-0.0166,0.1035,2480
Fri Jun 09 2023,GOOG230609C00123000,0.01,-0.725,0,0.02,10128,0.1256,0.2863,1.2414,3104,123.00,GOOG230609P00123000,0.16,-0.8,0.01,0.8,6233,0.1528,-0.7137,1.2414,4173
Fri Jun 09 2023,GOOG230609C00124000,0.01,-0.385,0,0.01,15096,0.6217,0.0127,0.0638,3631,124.00,GOOG230609P00124000,1.17,-0.48,0.76,2.3,4913,0,-0.9873,0.0638,2130
Fri Jun 09 2023,GOOG230609C00125000,0.01,-0.195,0,0.01,14200,1.0539,0.0077,0.024,34529,125.00,GOOG230609P00125000,2.15,-0.245,1.04,3.3,1137,0,-0.9923,0.024,3291
Fri Jun 09 2023,GOOG230609C00126000,0.01,-0.105,0,0.01,1691,1.4608,0.0056,0.0131,4491,126.00,GOOG230609P00126000,3.14,-0.185,1.9,4.15,452,0,-0.9944,0.0131,2952
Fri Jun 09 2023,GOOG230609C00127000,0.01,-0.045,0,0.01,1910,1.8514,0.0045,0.0084,6167,127.00,GOOG230609P00127000,4.27,-0.03,2.91,5.45,401,0,-0.9955,0.0084,2260
Fri Jun 09 2023,GOOG230609C00128000,0.01,-0.025,0,0.01,1004,2.2297,0.0037,0.0059,3067,128.00,GOOG230609P00128000,5.26,0.01,3.9,6.55,82,0,-0.9963,0.0059,1592
Fri Jun 09 2023,GOOG230609C00129000,0.01,-0.015,0,0.01,186,2.5981,0.0032,0.0044,3645,129.00,GOOG230609P00129000,5.81,-0.415,4.9,7.45,42,0,-0.9968,0.0044,1044
Fri Jun 09 2023,GOOG230609C00130000,0.01,-0.005,0,0.01,248,2.9581,0.0028,0.0034,14843,130.00,GOOG230609P00130000,6.75,-0.475,6.1,8.25,173,0,-0.9972,0.0034,407
Fri Jun 09 2023,GOOG230609C00131000,0.01,0.005,0,0.01,40,3.3108,0.0025,0.0028,2567,131.00,GOOG230609P00131000,7.65,-0.575,6.9,9.55,19,0,-0.9975,0.0028,9
Fri Jun 09 2023,GOOG230609C00132000,0.01,0.005,0,0.01,25,3.6568,0.0023,0.0023,2209,132.00,GOOG230609P00132000,8.8,-0.425,7.95,10.4,25,0,-0.9977,0.0023,0
Fri Jun 16 2023,GOOG230616C00115000,8.1,-0.025,7.85,10.45,121,0.5681,0.9347,0.023,20856,115.00,GOOG230616P00115000,0.16,-0.085,0.15,0.17,667,0.3268,-0.0657,0.0231,12601
Fri Jun 16 2023,GOOG230616C00116000,7.14,-0.085,6,9.3,91,0.4261,0.9152,0.0293,71,116.00,GOOG230616P00116000,0.21,-0.105,0.15,0.22,406,0.3134,-0.0854,0.0294,643
Fri Jun 16 2023,GOOG230616C00117000,6.38,0.055,6.15,8.25,96,0.5144,0.8888,0.0372,36,117.00,GOOG230616P00117000,0.27,-0.145,0.25,0.29,515,0.2998,-0.1117,0.0373,1728
Fri Jun 16 2023,GOOG230616C00117500,6.16,0.285,5.5,7.75,38,0.4755,0.8723,0.0417,14721,117.50,GOOG230616P00117500,0.32,-0.155,0.26,0.34,453,0.2939,-0.1286,0.042,13422
Fri Jun 16 2023,GOOG230616C00118000,5.69,0.215,4.85,6.35,74,0.3462,0.8532,0.0467,183,118.00,GOOG230616P00118000,0.37,-0.175,0.34,0.39,540,0.2893,-0.1474,0.0469,1564
Fri Jun 16 2023,GOOG230616C00119000,4.8,0.175,3.6,4.6,422,0.1762,0.8064,0.0575,60,119.00,GOOG230616P00119000,0.51,-0.215,0.48,0.54,539,0.2807,-0.195,0.0579,2564
