Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2023-07-18,BOX Options (B),2806636,343239,991021721.000000,0,0,0.000000,2806636,343239,991021721.000000
2023-07-18,Cboe Options Exchange (C),4582291,630889,1325168811.000000,4226473,571056,8002371464.000000,8808764,1201945,9327540275.000000
2023-07-18,MIAX Emerald (D),1129398,204736,345233700.000000,0,0,0.000000,1129398,204736,345233700.000000
2023-07-18,Cboe EDGX Options Exchange (E),2487010,366597,543162237.000000,0,0,0.000000,2487010,366597,543162237.000000
2023-07-18,Nasdaq GEMX (H),1296449,189541,349681157.000000,840,275,8454511.000000,1297289,189816,358135668.000000
2023-07-18,Nasdaq ISE (I),2603847,329412,1123653276.000000,30641,10059,283125967.000000,2634488,339471,1406779243.000000
2023-07-18,Nasdaq MRX (J),814078,121131,213516107.000000,0,0,0.000000,814078,121131,213516107.000000
2023-07-18,MIAX Options Exchange (M),2757597,420997,735817880.000000,0,0,0.000000,2757597,420997,735817880.000000
2023-07-18,NYSE Arca Options (N),4837456,694847,1536144521.000000,0,0,0.000000,4837456,694847,1536144521.000000
2023-07-18,MIAX Pearl (P),2503743,290961,605880442.000000,0,0,0.000000,2503743,290961,605880442.000000
2023-07-18,NASDAQ Options Market (Q),2323133,362996,748073662.000000,0,0,0.000000,2323133,362996,748073662.000000
2023-07-18,Nasdaq BX Options (T),1736216,267444,511174562.000000,0,0,0.000000,1736216,267444,511174562.000000
2023-07-18,Cboe C2 Options Exchange (W),1839937,226619,389745364.000000,9261,3102,19213301.000000,1849198,229721,408958665.000000
2023-07-18,Nasdaq PHLX (X),4495380,314813,1632206828.000000,30133,11104,259669902.000000,4525513,325917,1891876730.000000
2023-07-18,Cboe BZX Options Exchange (Z),1992359,294890,604071683.000000,1191,278,2572131.000000,1993550,295168,606643814.000000
2023-07-17,NYSE American Options (A),2432297,226532,767756669.000000,0,0,0.000000,2432297,226532,767756669.000000
2023-07-17,BOX Options (B),2392789,305127,691989219.000000,0,0,0.000000,2392789,305127,691989219.000000
2023-07-17,Cboe Options Exchange (C),4056850,600423,1131088003.000000,3288340,476219,5793338454.000000,7345190,1076642,6924426457.000000
2023-07-17,MIAX Emerald (D),1107151,193950,331465960.000000,0,0,0.000000,1107151,193950,331465960.000000
2023-07-17,Cboe EDGX Options Exchange (E),2115905,329203,473307557.000000,0,0,0.000000,2115905,329203,473307557.000000
2023-07-17,Nasdaq GEMX (H),1200305,178126,279055630.000000,857,243,15616979.000000,1201162,178369,294672609.000000
2023-07-17,Nasdaq ISE (I),2069323,278856,945800891.000000,22673,7539,197329387.000000,2091996,286395,1143130278.000000
2023-07-17,Nasdaq MRX (J),728992,108460,215366335.000000,0,0,0.000000,728992,108460,215366335.000000
2023-07-17,MIAX Options Exchange (M),2228463,383593,589079783.000000,0,0,0.000000,2228463,383593,589079783.000000
2023-07-17,NYSE Arca Options (N),4216101,598328,1663506726.000000,0,0,0.000000,4216101,598328,1663506726.000000
2023-07-17,MIAX Pearl (P),2290648,259842,498382305.000000,0,0,0.000000,2290648,259842,498382305.000000
2023-07-17,NASDAQ Options Market (Q),2076536,325596,653792661.000000,0,0,0.000000,2076536,325596,653792661.000000
2023-07-17,Nasdaq BX Options (T),1454066,234331,404621942.000000,0,0,0.000000,1454066,234331,404621942.000000
2023-07-17,Cboe C2 Options Exchange (W),1609927,211081,338364889.000000,10794,3309,10197875.000000,1620721,214390,348562764.000000
2023-07-17,Nasdaq PHLX (X),4178676,296447,1392306209.000000,23667,9383,235141283.000000,4202343,305830,1627447492.000000
2023-07-17,Cboe BZX Options Exchange (Z),1796643,270619,471114154.000000,1194,307,1991363.000000,1797837,270926,473105517.000000
2023-07-14,NYSE American Options (A),2843177,273380,800720083.000000,0,0,0.000000,2843177,273380,800720083.000000
