Ticker,Short Vol. [1M],Short Vol. %,Net Short Vol. [1M],Net Short Vol. ($100M),DP Position [1M],DP Position ($1B)
TSLA,59.844294,53.26315123,7.332686,18.3471136406,489.840664,116.3335037193
QQQ,13.387338,73.16590331,8.47744,30.843469952,100.303644,36.2172672405
SPY,12.343816,53.61978238,1.666621,7.2693008157,58.695405,25.4087459471
IWM,3.476215,52.23727299,0.297766,0.5459837376,26.979564,4.9363894514
VOO,1.177512,70.20119368,0.677685,2.7268011345,6.965307,2.7632679931
IVV,1.875371,72.81905424,1.175357,5.1530001594,6.036466,2.6426812701
RSP,2.312421,68.10809426,1.22962,1.812828766,17.177244,2.5228874074
PLTR,11.778266,44.69391808,-2.796642,-0.4085893962,151.600012,2.3081097242
XLI,1.20117,64.95935883,0.55323,0.583049097,19.378303,1.9864389898
SNOW,2.942817,62.53862686,1.180035,2.088897957,10.879439,1.8970189996
AI,8.277044,56.85889294,1.996921,0.6663725377,47.537794,1.8207273386
EWZ,4.402354,65.33441869,2.066523,0.6672802767,55.773442,1.771619479
PANW,1.728684,63.78764168,0.747307,1.8801496813,6.402767,1.549270798
XLF,3.304954,55.77419457,0.684311,0.2253436123,44.318769,1.4537105157
SOXL,12.955887,58.00881701,3.577433,0.8718204221,60.332274,1.4036992453
BND,1.54365,61.61394898,0.581942,0.4234209992,19.146759,1.3913341263
SMH,0.944595,70.89201631,0.556748,0.8435288948,8.888103,1.3211261248
AGG,2.443498,80.67430369,1.858153,1.8245204307,13.447222,1.3193008149
EEM,2.29563,57.80567917,0.619972,0.246128884,31.321474,1.2466272693
CRWD,0.563927,65.41090091,0.265724,0.3833865872,7.899811,1.2274167464
EFA,1.218341,67.52565035,0.632418,0.4532539806,16.138066,1.1552555848
DIA,0.187977,43.55120093,-0.055669,-0.1888459487,3.202726,1.0955558849
IEF,0.410624,36.6499315,-0.299147,-0.29017259,10.739448,1.0543199524
EMB,1.346336,75.41797233,0.907506,0.7833591792,11.894471,1.0188940664
JNK,0.60784,54.89829852,0.108469,0.0990755846,10.929471,0.9991952355
VTI,0.627449,50.96082155,0.02366,0.05129488,4.64327,0.9939860065
AMD,15.248896,45.63870545,-2.914409,-3.2172160951,7.779902,0.9751421187
CWB,0.522483,54.6092775,0.0882,0.0610344,14.318648,0.9725708883
ACN,0.247526,43.02510316,-0.080254,-0.2414120574,3.093587,0.9563923658
XOP,0.369108,50.16287973,0.002397,0.0029777931,7.554129,0.9396908395
RCL,1.865884,70.78526452,1.09579,1.111459797,9.778183,0.920057902
CAT,0.388875,59.30105953,0.121986,0.2936081034,3.941178,0.8988273025
LOW,0.673417,50.33188759,0.008881,0.0198543636,4.042675,0.8718183595
JEPI,2.778096,78.11618833,1.999828,1.0991054688,15.454549,0.8431316743
COIN,4.899699,42.71723594,-1.670677,-1.1676361553,14.55645,0.7700055109
W,1.982854,70.34230811,1.146844,0.7313424188,15.083482,0.7647667428
ENPH,0.666968,52.94640646,0.074232,0.1195357896,4.263708,0.7459290972
URI,0.203628,67.65162212,0.106261,0.4497709347,1.893872,0.7438775923
IYR,0.699395,77.01968895,0.490717,0.4176983104,8.804628,0.7418397437
IEMG,1.432274,69.20983481,0.795082,0.392770508,14.296224,0.7032069049
IQLT,0.496976,84.7591581,0.407613,0.1436428212,19.633907,0.6942381215
XHB,1.383364,89.10706395,1.214254,0.965939057,9.205196,0.6918103626
IGV,0.08365,58.74297753,0.0249,0.0847347,2.045237,0.6878881606
CARR,0.850992,67.02334025,0.432289,0.2139398261,15.010781,0.6831284935
VEA,2.157468,56.40546865,0.490009,0.2238851121,14.636229,0.6729201338
IEFA,1.901666,73.78056398,1.22587,0.818268225,9.94366,0.6651138155
MDY,0.086749,65.05264263,0.040146,0.1886139372,1.414023,0.6586635459
GOVT,2.146537,63.13579948,0.893201,0.2052575898,27.529524,0.6331718436
FXI,3.119386,54.35124681,0.499463,0.137851788,22.964787,0.6325877196
TSCO,0.240253,72.19596188,0.147727,0.3296232551,2.892905,0.6241190612
MOAT,0.52402,92.74214244,0.483011,0.3803228614,7.563984,0.5894507801
SCHD,1.493694,68.93093173,0.820445,0.588094976,8.221783,0.5890574857
SPYG,0.664316,70.77167284,0.389957,0.2337012301,9.828381,0.5854812116
EWJ,0.628129,48.10097599,-0.049597,-0.0303236058,9.452459,0.5815554236
ARKK,1.994227,57.85974642,0.541797,0.2347064604,13.484295,0.5749124039
BSJP,0.043502,42.52727486,-0.015288,-0.0034306272,25.353324,0.5690808304
XRT,0.857886,83.11672961,0.683626,0.4308211052,9.278545,0.5638009753
WDAY,0.244068,47.65101064,-0.024063,-0.0539540586,2.508618,0.5438175446
USFR,1.838343,64.42003699,0.823004,0.413971012,10.792067,0.5437801726
CHTR,0.422987,56.19103413,0.093208,0.3298071872,1.620314,0.5409123328
ASML,0.173719,56.63414173,0.040699,0.2951003092,0.739143,0.5321451226
XLB,0.789566,61.86037256,0.302764,0.2471765296,6.572707,0.5230484356
CI,0.161923,59.75150741,0.052852,0.145765816,1.943942,0.5169290029
ITW,0.272484,69.36682824,0.152152,0.3798018224,2.15271,0.5104949745
XHLF,0.020405,53.14494075,0.002415,0.0012122092,10.139566,0.5077561642
DE,0.305072,64.57397584,0.137706,0.5639198406,1.252116,0.5029325597
CVNA,5.858501,57.07429897,1.45231,0.35291133,25.523579,0.4982798254
LRCX,0.256346,62.43722081,0.102126,0.6629611416,0.8035,0.4974408409
GS,0.25913,32.65621436,-0.275249,-0.8627679905,1.437103,0.4947256306
IJR,0.986375,66.42322986,0.487765,0.477131723,4.832018,0.4787205073
FSLR,0.303484,56.28923993,0.067817,0.1239220041,2.426738,0.4701109292
BBEM,0.000004,3.80952381,-0.000097,-0.0000473651,9.658051,0.46796726
DXCM,0.394751,46.97185504,-0.050897,-0.062857795,4.103538,0.4633553102
LITE,0.489059,77.37871282,0.346085,0.2004178235,8.218253,0.4630532788
LCID,18.413366,59.18530395,5.71535,0.34863635,75.468782,0.4619355847
JEPQ,0.858716,70.8077474,0.504689,0.2415946243,9.701856,0.4614388153
ZS,0.294076,58.4895303,0.085368,0.1234933488,3.084053,0.4572698597
GWW,0.063804,75.0149903,0.042553,0.327870865,0.645644,0.4550206356
ODFL,0.423335,76.22068141,0.291263,1.0464205801,1.359429,0.452293672
SEDG,0.195881,51.63486733,0.012404,0.0316587292,1.63536,0.4522805007
