
Standard & Poors 500 Index,Last: 3860.8101,Change:  -59.7499
"Date: 15 de marzo de 2023, 11:55 GMT-4",Bid: 3859.6299,Ask: 3861.51,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Mar 15 2023,SPXW230315C03625000,0,0,233.9,236,0,0,0.9983,0.0001,0,3625.00,SPXW230315P03625000,0.07,-0.005,0,0.05,739,0.9393,-0.0017,0.0001,3869
Wed Mar 15 2023,SPXW230315C03630000,0,0,228.9,231,0,0,0.9983,0.0001,0,3630.00,SPXW230315P03630000,0.05,-0.025,0,0.05,146,0.9205,-0.0017,0.0001,604
Wed Mar 15 2023,SPXW230315C03635000,0,0,223.9,226,0,0,0.9982,0.0001,0,3635.00,SPXW230315P03635000,0.05,-0.025,0,0.05,252,0.9017,-0.0018,0.0001,26
Wed Mar 15 2023,SPXW230315C03640000,272.58,0,218.9,221,0,0,0.9982,0.0001,93,3640.00,SPXW230315P03640000,0.05,-0.025,0,0.05,451,0.8829,-0.0018,0.0001,1479
Wed Mar 15 2023,SPXW230315C03645000,215.1,-37.55,214.2,216.1,7,0,0.9981,0.0001,0,3645.00,SPXW230315P03645000,0.05,-0.05,0,0.05,125,0.8641,-0.0019,0.0001,20
Wed Mar 15 2023,SPXW230315C03650000,200.1,-47.55,209.2,211,1,0,0.9981,0.0001,3,3650.00,SPXW230315P03650000,0.05,-0.075,0,0.05,1555,0.8453,-0.0019,0.0001,7423
Wed Mar 15 2023,SPXW230315C03655000,210.9,-31.75,204.2,206.1,9,0,0.998,0.0001,0,3655.00,SPXW230315P03655000,0.05,-0.075,0,0.05,185,0.8265,-0.002,0.0001,159
Wed Mar 15 2023,SPXW230315C03660000,0,0,199.2,201.1,0,0,0.998,0.0001,0,3660.00,SPXW230315P03660000,0.05,-0.075,0,0.05,1080,0.8077,-0.002,0.0001,4748
Wed Mar 15 2023,SPXW230315C03665000,0,0,194.2,196.1,0,0,0.9979,0.0001,0,3665.00,SPXW230315P03665000,0.05,-0.075,0,0.05,174,0.7889,-0.0021,0.0001,277
Wed Mar 15 2023,SPXW230315C03670000,0,0,189.2,191.1,0,0,0.9978,0.0001,0,3670.00,SPXW230315P03670000,0.05,-0.075,0,0.05,621,0.77,-0.0022,0.0001,1587
Wed Mar 15 2023,SPXW230315C03675000,0,0,184.2,186.1,0,0,0.9977,0.0001,0,3675.00,SPXW230315P03675000,0.05,-0.075,0,0.05,3645,0.7512,-0.0023,0.0001,1183
Wed Mar 15 2023,SPXW230315C03680000,0,0,179.2,181.1,0,0,0.9976,0.0001,0,3680.00,SPXW230315P03680000,0.05,-0.075,0,0.1,391,0.7798,-0.0024,0.0001,886
Wed Mar 15 2023,SPXW230315C03685000,0,0,174.2,176.1,0,0,0.9975,0.0001,0,3685.00,SPXW230315P03685000,0.07,-0.055,0,0.1,365,0.7599,-0.0025,0.0001,321
Wed Mar 15 2023,SPXW230315C03690000,0,0,169.2,171.1,0,0,0.9973,0.0001,0,3690.00,SPXW230315P03690000,0.07,-0.08,0,0.1,434,0.74,-0.0027,0.0001,764
Wed Mar 15 2023,SPXW230315C03695000,0,0,164.2,166.1,0,0,0.9971,0.0001,0,3695.00,SPXW230315P03695000,0.07,-0.08,0.05,0.1,488,0.7498,-0.0029,0.0001,1664
Wed Mar 15 2023,SPXW230315C03700000,162.4,-35.3,159.2,161.1,1,0,0.9968,0.0002,31,3700.00,SPXW230315P03700000,0.05,-0.125,0.05,0.1,2700,0.7291,-0.0032,0.0002,7333
Wed Mar 15 2023,SPXW230315C03705000,0,0,154.2,156.1,0,0,0.9965,0.0002,0,3705.00,SPXW230315P03705000,0.1,-0.075,0.05,0.1,616,0.7085,-0.0035,0.0002,373
