Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,OCO,TIF,Account,Connection,ID,Strategy,Time,
NQ 03-23,Buy,Market,1,0,0,Filled,1,11337.50,0,Entry,,DAY,PA-LL025173-003!NaturalTrading!NaturalTrading,,1533417695,,12/01/2023 15:51:16,
NQ 03-23,Sell,Stop Market,1,0,11346.75,Filled,1,11346.50,0,Stop1,3d4c5a4926924c3792477c575df0d6fb,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1533417722,,12/01/2023 15:51:28,
NQ 03-23,Sell,Limit,1,11427.50,0,Cancelled,0,0,1,Target1,3d4c5a4926924c3792477c575df0d6fb,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1533417727,,12/01/2023 15:51:28,
NQ 03-23,Buy,Market,1,0,0,Filled,1,11607.25,0,Entry,,DAY,PA-LL025173-003!NaturalTrading!NaturalTrading,,1535151285,,17/01/2023 16:52:00,
NQ 03-23,Sell,Stop Market,1,0,11616.75,Filled,1,11616.50,0,Stop1,960a3a5c132a42e7a2fd6d180623d20b,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1535151293,,17/01/2023 16:52:41,
NQ 03-23,Sell,Limit,1,11697.25,0,Cancelled,0,0,1,Target1,960a3a5c132a42e7a2fd6d180623d20b,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1535151300,,17/01/2023 16:52:41,
NQ 03-23,Buy,Market,1,0,0,Filled,1,11582.75,0,Entry,,DAY,PA-LL025173-003!NaturalTrading!NaturalTrading,,1535986686,,18/01/2023 17:13:08,
NQ 03-23,Sell,Stop Market,1,0,11557.75,Cancelled,0,0,1,Stop1,e411bfe4be9b4c74bff40c998b7cc61d,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1535986691,,18/01/2023 17:13:19,
NQ 03-23,Sell,Limit,1,11672.75,0,Cancelled,0,0,1,Target1,e411bfe4be9b4c74bff40c998b7cc61d,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1535986696,,18/01/2023 17:13:19,
NQ 03-23,Sell,Market,1,0,0,Filled,1,11586.00,0,Close,,DAY,PA-LL025173-003!NaturalTrading!NaturalTrading,,1535986931,,18/01/2023 17:13:19,
NQ 03-23,Buy,Market,1,0,0,Filled,1,11340.00,0,Entry,,DAY,PA-LL025173-003!NaturalTrading!NaturalTrading,,1536672303,,19/01/2023 17:01:48,
NQ 03-23,Sell,Stop Market,1,0,11347.75,Filled,1,11347.50,0,Stop1,2a54ba99cbf7401eaeb38af3a7fb4874,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1536672311,,19/01/2023 17:03:30,
NQ 03-23,Sell,Limit,1,11375.75,0,Cancelled,0,0,1,Target1,2a54ba99cbf7401eaeb38af3a7fb4874,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1536672317,,19/01/2023 17:03:30,
NQ 03-23,Sell,Market,1,0,0,Filled,1,11824.00,0,Entry,,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1537832940,,23/01/2023 16:19:14,
NQ 03-23,Buy,Market,1,0,11821.75,Filled,1,11822.00,0,Stop1,cd72496d2fa6449bac599e84fc1483d3,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1537832947,,23/01/2023 16:20:38,
NQ 03-23,Buy,Limit,1,11734.00,0,Cancelled,0,0,1,Target1,cd72496d2fa6449bac599e84fc1483d3,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1537832949,,23/01/2023 16:20:38,
NQ 03-23,Buy,Market,1,0,0,Filled,1,11902.25,0,Entry,,DAY,PA-LL025173-003!NaturalTrading!NaturalTrading,,1538525413,,24/01/2023 16:32:31,
NQ 03-23,Sell,Stop Market,1,0,11877.25,Cancelled,0,0,1,Stop1,49f9f924d8b14f5d9bbeedf60d7ee2b4,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1538525426,,24/01/2023 16:33:44,
NQ 03-23,Sell,Limit,1,11992.25,0,Cancelled,0,0,1,Target1,49f9f924d8b14f5d9bbeedf60d7ee2b4,GTC,PA-LL025173-003!NaturalTrading!NaturalTrading,,1538525432,,24/01/2023 16:33:44,
NQ 03-23,Sell,Market,1,0,0,Filled,1,11904.50,0,Close,,DAY,PA-LL025173-003!NaturalTrading!NaturalTrading,,1538527711,,24/01/2023 16:33:44,
